gene_id,WTCMA,WTCMB,WTCMC,WTCM1,WTCM2,WTCM3,WTMA,WTMC,WTM1,WTM2,WTM3,KOCMA,KOCMB,KOCMC,KOCM1,KOCM2,KOCM3,KOMA,KOMB,KOM1,KOM2
VNG_RS00395,35344,42328,34739,7089,7731,8744,25282,15485,6304,5361,41076,42945,24200,63688,4276,10745,7650,52819,13841,20040,3063
VNG_RS00400,1548,2590,1958,321,454,615,1550,968,486,285,2531,1951,1740,4279,264,480,283,3195,1200,1673,172
VNG_RS00405,419,806,682,78,132,162,569,462,215,107,889,717,855,2333,76,112,77,1731,496,583,53
VNG_RS00410,238,349,281,41,59,70,299,215,114,61,471,294,307,908,36,63,43,920,263,446,21
VNG_RS00415,1756,2054,2656,486,568,669,1777,1168,782,338,3380,2495,1810,3302,386,600,465,3112,1115,2201,228
VNG_RS00420,1143,1122,1332,212,248,283,1139,675,301,147,1508,1452,991,1591,142,260,263,1795,835,687,126
VNG_RS00425,2386,2884,3463,580,857,828,3072,2172,1504,699,4970,3302,2705,5643,567,844,662,5674,1825,3953,432
VNG_RS00430,313,611,509,98,128,154,497,381,271,147,905,513,419,1019,98,159,110,1117,369,658,82
VNG_RS00435,13,20,5,9,11,8,14,9,6,7,59,18,5,28,2,5,7,53,17,45,5
VNG_RS00440,2073,2478,2407,452,509,612,1981,1281,573,295,3447,2602,1479,2043,299,448,359,2952,1333,1383,212
VNG_RS00445,1,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
VNG_RS00450,204,311,213,42,61,113,234,127,91,29,481,236,224,577,32,70,42,470,196,372,41
VNG_RS00455,790,1172,1216,213,304,355,913,731,489,234,1753,1213,920,1947,218,385,197,2223,788,1581,171
VNG_RS00460,17,39,38,4,10,8,52,37,12,9,60,39,19,25,3,9,6,112,43,47,2
VNG_RS00465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VNG_RS00470,78,111,114,13,4,4,113,62,6,4,43,101,76,152,3,6,8,187,76,21,3
VNG_RS00475,20,25,19,4,0,2,17,15,6,4,31,15,6,37,2,7,0,33,10,15,3
VNG_RS00480,7,24,13,1,1,4,19,19,3,3,22,28,15,37,0,3,2,66,16,15,0
VNG_RS00485,22,28,27,2,2,5,15,30,5,6,31,28,27,59,0,0,3,57,43,9,1
VNG_RS00490,14,22,11,3,6,7,14,18,6,3,49,10,9,28,1,5,3,34,17,40,2
VNG_RS00495,109,191,154,26,36,41,211,133,62,32,335,150,146,466,11,39,23,568,218,274,29
VNG_RS00500,1905,3590,2497,439,599,1259,1501,951,689,306,2937,2482,3215,6534,433,781,375,3283,1219,1840,187
